emotion,sentence
angry,عصبانیتم را باید کنترل کنم تا به خوبی بتوانم با موقعیت‌های دشوار برخورد کنم.
angry,غضبم را نمی‌توانم پنهان کنم و بی‌صبرانه انتقام می‌گیرم.
angry,ناراحتم که همیشه به دستاوردهایم بی‌اعتنا می‌شوی و از تلاشهایم سر باز می‌کنی.
angry,تمسخر ترسناک و ناگهانی است.
angry,خشم و بی‌صبری
angry,خشمگینم که همیشه از تلاشهایم بی‌احترامی می‌کنی و امیدواری‌هایم را نابود می‌کنی.
angry,عصبانی و بی‌تاب هستم
angry,غضبم به سقف می‌رسد.
angry,آتش عصبانیت در دلم می‌سوزد و احساس خشمم مانند یک باران سوزان است.
angry,خشمگینی و بی‌صبری
angry,عصبانی و ناراحت هستم
angry,دلم پر از خشم است و هیچ چیز نمی‌تواند آن را آرام کند.
angry,غضبم را نمی‌توانم پنهان کنم.
angry,خشم آتشین می‌سوزد.
angry,ناامیدی عمیق و بی‌پایان، اشک‌های ناگزیر و سرگردان
angry,خشمم را نمی‌توانم فرو برمارم و حساب‌هایم را نمی‌گیرم.
angry,به خشم می‌سوزم و تمام عصبانیتم را به دیگران منتقل می‌کنم.
angry,دیوانگی خاموش می‌شود.
angry,تحمل ناپذیری و عدالت‌خواهی
angry,بی‌تحملی ناراحت‌کننده است.
angry,تجاوز و سرکوب
angry,تشنگی عمده‌ای دارم.
angry,عصبانیتم بی‌حد و مرز است
angry,غضبم من را می‌سوزاند.
angry,عصبانیت بی‌رویه و بی‌احساسی
angry,خشمم را به طرز وحشیانه‌ای بیان می‌کنم.
angry,احساس عصبانیت عمیقی دارم و باید با آن مقابله کنم.
angry,تشنگی عصبانیت را نشان می‌دهد.
angry,خشم مرا تسخیر می‌کند و من می‌سوزم.
angry,همیشه عصبانیم کننده است که نمی‌توانم برای تو بهانه‌ای بیابم.
angry,آزرده‌ام که همیشه برای رضایت دیگران زندگی می‌کنی و من را نادیده می‌گیری.
angry,خشمم را کنترل نمی‌کنم.
angry,احساس عصبانیت عمیقی دارم و قلبم به سرعت تپش می‌کند.
angry,عدم تحمل و خشم
angry,خستگی ناپایدار و بی‌انتها، درد واقعی و بی‌رحمانه
angry,احساس عصبانیت درونی و بی‌قراری را درون خود تجربه می‌کنم.
angry,خشمم را کنترل نمی‌کنم و دست‌هام تکان می‌خورد.
angry,باعث غصه می‌خورم که همیشه به حرفهایم توجه نمی‌کنی.
angry,دلم تنگ از عصبانیت است
angry,انتقام و عدم احترام
angry,انتقام و خشم
angry,خشمم آسمان را می‌پوشاند
angry,خشمم را نمی‌توانم فرو برمارم.
angry,خشمم همه جاست
angry,غضبم من را می‌سوزاند و قلبم تکان می‌خورد.
angry,غضبم من را می‌سوزاند و احساس خشمم تمام وجودم را فرا می‌گیرد.
angry,غضبم را نمی‌توانم پنهان کنم و از هر کسی که می‌بینم، انتقام می‌گیرم.
angry,شورش عصبانیت را به سطحی ناپایدار و ناپیوسته بالا می‌برد و احساس ناراحتی می‌کنم.
angry,عصبانیتم از کنترل خارج شده است.
angry,عصبانیت بی‌حد و مرز
angry,احساس خشم می‌کنم
angry,خشم و عدم رضایت
angry,خشم و غضبم بالاست
angry,به تو غضب دارم که همیشه احساس می‌کنم نادیده گرفته می‌شوم.
angry,خشم و بی‌امانی
angry,استفراغ و انزوا
angry,خشمگینم که همیشه توجه تو را به دیگران می‌بری.
angry,تندی نابسامان و سخت است.
angry,انتقام و بی‌رحمی
angry,غضبم به انفجار می‌رسد و خاموش نمی‌شود.
angry,به خشم تبدیل می‌شوم.
angry,عصبانیت بی‌حد و مرز و ترس
angry,باعث غصه می‌خورم که همیشه به تماسهایم پاسخ نمی‌دهی.
angry,افروختگی و سرمستی
angry,خشمم را نمی‌توانم کنترل کنم و دست‌نیافتنی است.
angry,خشمم درونم را به لرزه در می‌آورد و نمی‌توانم از آن فرار کنم.
angry,خشمم نمی‌گذارد بخوابم
angry,عصبانیتم مرا به حالتی از هرج و مرج می‌کشاند و نمی‌توانم آرامش پیدا کنم.
angry,عصبانیم
angry,عصبانیتم به شدت است
angry,انتقام و بی‌عدالتی
angry,خستگی ناقابل و غم فراوان، احساس بی‌انتها دلتنگی
angry,تجاوز و سرمستی
angry,احساس خشم عمیقی دارم.
angry,تجاوز و ستم
angry,خشمم را به طرز وحشتناکی بیان می‌کنم و همه را به هم می‌زنم.
angry,بی‌امیدی سنگین و ناپایدار، خستگی بی‌انتها و تاریکی
angry,تندی نابسامان می‌شود.
angry,عصبانیت دست به دست می‌شود.
angry,خشم و خشم آمیزی، حسرتی که هرگز پایان نمی‌یابد
angry,بی‌امیدی عمیق و زخمی، آشفتگی ناگزیر
angry,با تو عصبانی شده‌ام
angry,آتش سوزان درونم.
angry,عصبانیت بی‌کران
angry,غضبم را نمی‌توانم در سکوت نگه دارم.
angry,خشمم همه جا حاکم است
angry,غم فراوان و بی‌محابا، تلخی دلتنگی در هر لحظه
angry,خشم سرشار از انتقام است.
angry,غضبم را درون خود می‌پندارم و به هیچ کس نمی‌گویم.
angry,به خشم برآمده‌ام و حرف‌هایم تند و تیز است.
angry,آتش خشم در دلم می‌سوزد و دست‌هام لرزان است.
angry,غضبم را در دل خود نگه می‌دارم و به هیچ کس اجازه نمی‌دهم به آن دست بزند.
angry,خشمم دست‌نیافتنی است.
angry,شورش عصبانیت را به بار می‌آورد.
